INFORME DE LOS EMPLEADOS DEL SISTEMA AEROPORTUARIO
Name;Last name;Id;Type;Airline
Robert;Boone;203;Piloto;LATAM
Herman;Tanner;205;Piloto;LATAM
Hop;Francis;208;Piloto;LATAM
Barrett;Combs;211;Piloto;LATAM
Sheila;Romero;214;Piloto;LATAM
Urielle;Clark;219;Piloto;LATAM
Rebecca;Owens;220;Piloto;LATAM
Ifeoma;Chambers;221;Piloto;LATAM
Shana;Gordon;223;Piloto;LATAM
Tate;Quinn;230;Piloto;LATAM
Clinton;Mcclure;233;Piloto;LATAM
Wendy;Edwards;234;Piloto;LATAM
Richard;Wells;236;Piloto;LATAM
Rodolfo;Huaman;237;Piloto;LATAM
Ria;Evans;239;Piloto;LATAM
Jorge;Park;200;Asesor;LATAM
Pedro;Wiggins;201;Asesor;LATAM
Manuel;Calderon;202;Asesor;LATAM
Baker;Whitley;204;Asesor;LATAM
Solomon;Valenzuela;206;Asesor;LATAM
Eagan;Mcintyre;207;Asesor;LATAM
Raya;Castillo;209;Asesor;LATAM
Kaye;Gallegos;210;Asesor;LATAM
Xyla;Munoz;212;Asesor;LATAM
Steven;Leonard;213;Asesor;LATAM
Jerome;Dunn;215;Asesor;LATAM
Ariana;Oconnor;216;Asesor;LATAM
Medge;Herman;217;Asesor;LATAM
Lawrence;Hopper;218;Asesor;LATAM
Amal;Castro;222;Asesor;LATAM
Joseph;Abbott;224;Asesor;LATAM
Miriam;Charles;225;Asesor;LATAM
Timon;Arnold;226;Asesor;LATAM
Kay;Flowers;227;Asesor;LATAM
Tanek;Glover;228;Asesor;LATAM
David;Rodriguez;229;Asesor;LATAM
Ronan;Walsh;231;Asesor;LATAM
Amelia;Preston;232;Asesor;LATAM
Wanda;Potter;235;Asesor;LATAM
Iris;Merrill;238;Asesor;LATAM
Tallulah;Mack;240;Asesor;LATAM
